content,created_at,author,reference,embeds,mentions,id,attachments
!history,2022-09-13 10:22:31.756000+00:00,finn,,[],[],1019191342687072276,[]
Thanks for the feedback! I'll discuss it with the team,2022-09-13 02:42:46.824000+00:00,Alan Chan,<MessageReference message_id=1019062030176616458 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=174103652556996608 name='robotic_scarab' discriminator='6756' bot=False>],1019075643096432781,[]
"a couple feature requests:

- it would be fantastic if whiteboards could be collapsed / folded to show only their title, the same way cards can!

- it would be nice to be able to set the size of a collapsed card's title.
-- often I only want the title of a card showing, but for readability I wish I could set the text size to H1 or H2 size, for example. the collapsed card's text is very small for me currently. I get around this by using the card unfolded and resizing the card to hide the rest of the text, but I have to add a block with a period to get an even margin of whitespace around the title (see screenshot - on the 3rd card, the first line of body text is visible and distracting, compared to the other two where I ""fake"" a full margin and all attention goes to the title).",2022-09-13 01:48:41.251000+00:00,robotic_scarab,,[],[],1019062030176616458,[<Attachment id=1019062029572649100 filename='ss_20220912_204422.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1019062029572649100/ss_20220912_204422.png'>]
"Yep, when letting go of the connection arrow in an empty space, a new, connected card is created!

Right now there's unnecessary friction. I have to first create a new card and then select the connection tool, and then connect the cards.

Didn't catch the previous request. Liked it too",2022-09-12 21:54:42.818000+00:00,maxlinworm,<MessageReference message_id=1018986357592445019 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=710847265581039616 name='Sams_Here' discriminator='7066' bot=False>],1019003148720951346,[]
"If I may clarify, you want to create a new card *when dragging the connection tool (arrow) onto an empty whiteboard space*? (We can already create a new card by double clicking in a whiteboard space).
This has been suggested (with 10 likes) not too long ago. It doesn't hurt to request again, though!
https://discord.com/channels/812292969183969301/856016076311101470/970595454645575760",2022-09-12 20:47:59.501000+00:00,Sams_Here,<MessageReference message_id=1018982692655726672 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=776122030230732820 name='maxlinworm' discriminator='3856' bot=False>],1018986357592445019,[]
Create a new card by clicking in empty space in whiteboard when using the whiteboard app,2022-09-12 20:33:25.712000+00:00,maxlinworm,,[],[],1018982692655726672,[<Attachment id=1018982691296784435 filename='Hepta_2022-09-12_17-16-48.mp4' url='https://cdn.discordapp.com/attachments/856016076311101470/1018982691296784435/Hepta_2022-09-12_17-16-48.mp4'>]
估計十月會把這個 Behavior 修掉,2022-09-11 08:00:40.699000+00:00,Alan Chan,<MessageReference message_id=1018430639449571398 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=979266928638038016 name='YH' discriminator='0253' bot=False>],1018430868995440700,[]
"想請問，因為換行(enter)一次跟換行(enter)兩次對我來說是不一樣的，
但我發現在card裡，下一次打開app的時候都會是整合成換行一次的間距。
請問有機會保留好幾個換行的編輯嗎？",2022-09-11 07:59:45.971000+00:00,YH,,[],[],1018430639449571398,[]
"Same question for iOS app iPad and iPhone 🙂
I have a lot of ideas on the go and want to begin writing cards immediately",2022-09-10 20:24:31.483000+00:00,Krysbe,<MessageReference message_id=1016887622272041021 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1018255676205711491,[]
Yes i want calendar system too and if can link with google calendar will be cool,2022-09-10 20:20:08.947000+00:00,aran,<MessageReference message_id=1015634640440152085 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=991740291084197919 name='Richy' discriminator='2664' bot=False>],1018254575049916507,[]
引用其它卡片是否可以自动连线呢?,2022-09-08 14:36:48.555000+00:00,char_lie,,[],[],1017443395012137071,[]
October,2022-09-07 01:48:22.008000+00:00,Alan Chan,<MessageReference message_id=1016881351049367632 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=923029285265113128 name='duolidoris' discriminator='6098' bot=False>],1016887622272041021,[]
When (which month) can we expect the web version to come out?,2022-09-07 01:23:26.832000+00:00,duolidoris,,[],[],1016881351049367632,[]
"When clicking outside of a card on a whiteboard, it would be nice if any selected text could be automatically de-selected. Once I click outside the card, I'm done working in it for the moment, and am reviewing the whole picture. It's visually bothering to have the selection still visible on the card, and I have to click into the card, deselect, and click back out which disrupts my flow.",2022-09-06 16:22:24.051000+00:00,robotic_scarab,,[],[],1016745192277159936,[<Attachment id=1016745191681572895 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1016745191681572895/unknown.png'>]
"不愧是大佬, 运筹帷幄之中.",2022-09-06 14:48:58.907000+00:00,char_lie,,[],[],1016721682599268503,[]
這個是有計畫的,2022-09-06 14:48:35.913000+00:00,Alan Chan,<MessageReference message_id=1016721491045384302 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=917473135861841951 name='char_lie' discriminator='7938' bot=False>],1016721586155421706,[]
历史搜索内容,2022-09-06 14:48:23.826000+00:00,char_lie,,[],[],1016721535458869258,[]
"<@779015270311395370> 请问是否可以在使用ctrl+o全局搜索的时候, 显示之前的几条搜索内容呢",2022-09-06 14:48:13.237000+00:00,char_lie,,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1016721491045384302,[]
"另外card直观展示网页信息比直接给一个网址link到文字要好一点, 可以直接浏览内容,不用跳转到浏览器.",2022-09-06 11:45:43.572000+00:00,char_lie,,[],[],1016675564821688390,[]
比如需要在一个网页内频繁复制信息然后黏贴到hepta中,2022-09-06 11:40:56.705000+00:00,char_lie,,[],[],1016674361614282812,[]
对于需要来回在网页和hepta来回收集整理信息来说.还是有用的,2022-09-06 11:40:08.056000+00:00,char_lie,,[],[],1016674157565595749,[]
"感觉这个功能可以取代web clipper,",2022-09-06 11:38:46.068000+00:00,char_lie,,[],[],1016673813682999356,[]
這部分是有想過，不過暫時還沒規劃，因為目前還沒看到一個明確且足夠有價值的使用場景（e.g. 什麼樣的人在什麼樣的情況下會非常需要這個功能）,2022-09-06 11:37:48.859000+00:00,Alan Chan,<MessageReference message_id=1016672849412501525 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=917473135861841951 name='char_lie' discriminator='7938' bot=False>],1016673573731049564,[]
"<@779015270311395370>  请问是否已经有了把网页页面做成一个card, 并且可以通过操作card的逻辑(拆分, 标记等)同样操作网页的想法呢?",2022-09-06 11:34:56.168000+00:00,char_lie,,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1016672849412501525,[]
