content,created_at,author,reference
&history,2022-08-25 11:32:24.369000+00:00,finn,
Dan wants us to give us a what we want to do ideally in 2-3 sentences and hell float to Minervas network,2022-08-23 02:01:33.138000+00:00,andrepology,
https://www.notion.so/curl-projects/Emergent-Ventures-Proposal-Drafts-1a6bdf52dd1a4d20ab49078d159e14da,2022-08-22 21:48:52.464000+00:00,EllieDeSota,
In the drafts doc,2022-08-22 21:48:42.641000+00:00,EllieDeSota,
"Also - additional Material -> Idea in a tweet? 

- What if search didn’t stop at keywords? Abstract poetry reinvents search to eliminate exhausting keyword engineering, and systemic bias towards popular results by listening to your preferences and returning results based on paper content not just keywords.

Summary of proposal - 

We used systems thinking, user focused design, and interdisciplinary development to redesign academic search so it facilitates exploratory and exhaustive search without keyword engineering. We brought our product to beta testing from an idea in 2 months, but are limited by the costs of hosting and gaining access to academic data making our product easily scalable with relatively low investment.",2022-08-22 21:43:56.628000+00:00,EllieDeSota,
https://www.notion.so/curl-projects/Emergent-Ventures-Proposal-d7ba1bc767e549448dabf22e1d967efe,2022-08-22 21:24:20.573000+00:00,EllieDeSota,
Did some word cutting -> final proposal here with links embedded,2022-08-22 21:24:18.611000+00:00,EllieDeSota,
As a note - my only goal for the next week is to pop through the Protocol labs stuff - otherwise I'll be relatively checked out,2022-08-22 01:27:48.415000+00:00,EllieDeSota,
Will do! Thanks for checking through.,2022-08-22 01:27:10.246000+00:00,EllieDeSota,<MessageReference message_id=1011042136499683400 channel_id=1002291205025050724 guild_id=977651180308160512>
"GG <@694931462763446363>, you just advanced to level 8!",2022-08-22 01:26:27.187000+00:00,MEE6,
I'd love to also be a part of this convo when yall have it!,2022-08-22 01:26:26.613000+00:00,EllieDeSota,<MessageReference message_id=1011041759779897344 channel_id=1002291205025050724 guild_id=977651180308160512>
Fine with me! I’ll write up and test some stuff,2022-08-22 00:26:44.852000+00:00,finn,
Can do tomorrow,2022-08-22 00:04:50.512000+00:00,andrepology,
Out out with friends tonight,2022-08-22 00:04:48.078000+00:00,andrepology,
"anyone free to talk about stuff in like 20 mins, had lots of ideas after call with Jacob",2022-08-21 23:47:30.125000+00:00,finn,
"not doing knowledge graph stuff at the moment, but will do so if i do this later",2022-08-21 22:57:14.299000+00:00,finn,
"Just try to capture as many node types (author, message, entity) and as many edges. And save model outputs as metadata along an edge. And think of recommendation/summarization etc as walking the graph in ways that incorporate the metadata",2022-08-21 22:56:44.072000+00:00,andrepology,<MessageReference message_id=1011042136499683400 channel_id=1002291205025050724 guild_id=977651180308160512>
pke is also pretty good at keyword extraction,2022-08-21 22:56:24.603000+00:00,finn,
I will,2022-08-21 22:51:46.855000+00:00,andrepology,
going to switch to discord data science stuff,2022-08-21 22:51:34.006000+00:00,finn,
everyone else should read through and leave comments on it at least once before we submit it on Monday,2022-08-21 22:50:43.764000+00:00,finn,
should be fine for now,2022-08-21 22:50:27.492000+00:00,finn,
"okay, added images and refined some more stuff",2022-08-21 22:50:22.032000+00:00,finn,
Also reviewed Ellie's reflection doc and left comments,2022-08-21 22:42:06.321000+00:00,finn,
"but if we figure out a way of representing short strings (i.e. tweets and discord messages) in a system that allows us to extract meaningful patterns and insights from them, we can use them for both projects",2022-08-21 22:40:29.596000+00:00,finn,
"at the very least, operating in the same domain",2022-08-21 22:39:51.070000+00:00,finn,
Yeah I sense that,2022-08-21 22:39:40.547000+00:00,andrepology,
seems like discord stuff could end up really really similar to the Tweetscape stuff,2022-08-21 22:39:25.748000+00:00,finn,
<@956585029524402226> want to talk to you about building knowledge graphs at some point,2022-08-21 22:38:59.779000+00:00,finn,
have some interesting thoughts about zero-shot classification,2022-08-21 22:38:40.367000+00:00,finn,
going to do more data science for the discord bot today,2022-08-21 22:38:28.583000+00:00,finn,
what have we got to do?,2022-08-21 22:37:52.116000+00:00,finn,
"I need more stuff to work on, bored",2022-08-21 22:37:47.333000+00:00,finn,
It's at the bottom of the document,2022-08-21 22:37:09.568000+00:00,finn,
Emerging Ventures v3.1 is done,2022-08-21 22:37:04.695000+00:00,finn,
"Okey dokie, might add some images then",2022-08-21 22:36:57.572000+00:00,finn,
